baseSize=96
# codepoint,atlasX,atlasY,atlasW,atlasH,width,height,bearingX,bearingY,advance
124,0,0,26,128,14,116,22,87,58
253,27,0,65,115,53,103,2,82,58
106,93,0,51,112,39,100,6,78,58
40,145,0,46,111,34,99,10,83,58
41,192,0,47,111,35,99,14,83,58
255,240,0,66,110,54,98,2,77,58
36,307,0,62,110,50,98,3,82,58
254,370,0,59,108,47,96,7,74,58
197,430,0,73,108,61,96,-2,95,58
123,504,0,47,107,35,95,10,81,58
125,552,0,47,107,35,95,13,81,58
199,600,0,65,106,53,94,3,69,58
210,666,0,65,106,53,94,2,92,58
211,732,0,65,106,53,94,2,92,58
217,798,0,62,106,50,94,4,92,58
218,861,0,62,106,50,94,4,92,58
205,924,0,55,105,43,93,7,93,58
200,0,129,56,105,44,93,9,93,58
221,57,129,72,105,60,93,-1,93,58
219,130,129,62,105,50,93,4,91,58
193,193,129,73,105,61,93,-2,92,58
201,267,129,56,105,44,93,9,93,58
212,324,129,65,105,53,93,2,91,58
192,390,129,73,105,61,93,-2,92,58
204,464,129,55,105,43,93,7,93,58
194,520,129,73,104,61,92,-2,91,58
93,594,129,41,104,29,92,13,80,58
91,636,129,42,104,30,92,15,80,58
220,679,129,62,103,50,91,4,89,58
214,742,129,65,103,53,91,2,89,58
213,808,129,65,103,53,91,2,89,58
202,874,129,56,103,44,91,9,91,58
206,931,129,55,103,43,91,7,91,58
92,0,235,65,102,53,90,2,79,58
47,66,235,65,102,53,90,2,79,58
195,132,235,73,102,61,90,-2,89,58
203,206,235,56,101,44,89,9,89,58
209,263,235,59,101,47,89,5,89,58
216,323,235,66,101,54,89,2,78,58
207,390,235,55,101,43,89,7,89,58
196,446,235,72,101,60,89,-1,88,58
81,519,235,70,98,58,86,3,69,58
229,590,235,62,97,50,85,3,83,58
162,653,235,55,95,43,83,8,67,58
232,709,235,61,95,49,83,4,81,58
225,771,235,62,95,50,83,3,81,58
233,834,235,61,95,49,83,4,81,58
224,896,235,62,95,50,83,3,81,58
242,959,235,62,95,50,83,4,81,58
243,0,338,62,95,50,83,4,81,58
250,63,338,57,95,45,83,7,81,58
249,121,338,57,95,45,83,7,81,58
226,179,338,62,93,50,81,3,79,58
234,242,338,61,93,49,81,4,79,58
236,304,338,55,93,43,81,8,81,58
237,360,338,55,93,43,81,8,81,58
103,416,338,65,93,53,81,3,60,58
244,482,338,62,93,50,81,4,79,58
251,545,338,57,93,45,81,7,79,58
248,603,338,62,91,50,79,4,65,58
245,666,338,62,91,50,79,4,77,58
238,729,338,55,91,43,79,8,79,58
240,785,338,62,91,50,79,4,77,58
227,848,338,62,91,50,79,3,77,58
105,911,338,55,90,43,78,8,78,58
64,0,434,70,90,58,78,-1,69,58
228,71,434,62,90,50,78,3,76,58
231,134,434,58,90,46,78,7,53,58
252,193,434,57,90,45,78,7,76,58
235,251,434,61,90,49,78,4,76,58
246,313,434,62,90,50,78,4,76,58
239,376,434,55,89,43,77,8,77,58
241,432,434,57,89,45,77,7,77,58
223,490,434,62,88,50,76,6,74,58
100,553,434,59,88,47,76,4,74,58
98,613,434,59,88,47,76,7,74,58
112,673,434,59,87,47,75,7,53,58
113,733,434,59,87,47,75,4,53,58
102,793,434,63,86,51,74,7,73,58
104,857,434,57,86,45,74,7,74,58
37,915,434,69,85,57,73,1,69,58
108,0,525,61,85,49,73,3,71,58
121,62,525,65,85,53,73,2,52,58
107,128,525,63,85,51,73,7,73,58
57,192,525,61,85,49,73,4,69,58
59,254,525,33,83,21,71,18,52,58
48,288,525,60,83,48,71,5,69,58
8364,349,525,65,83,53,71,3,69,58
79,415,525,65,83,53,71,2,69,58
71,481,525,64,83,52,71,2,69,58
51,546,525,62,83,50,71,1,69,58
54,609,525,61,83,49,71,5,69,58
63,671,525,57,82,45,70,5,68,58
83,729,525,66,82,54,70,1,68,58
38,796,525,64,82,52,70,4,68,58
67,861,525,66,82,54,70,3,68,58
56,928,525,62,82,50,70,4,68,58
55,0,611,57,82,45,70,7,67,58
74,58,611,60,81,48,69,3,68,58
53,119,611,61,81,49,69,3,67,58
52,181,611,62,81,50,69,4,69,58
50,244,611,61,81,49,69,3,69,58
163,306,611,63,81,51,69,4,69,58
85,370,611,62,81,50,69,4,67,58
198,433,611,72,80,60,68,-2,68,58
70,506,611,56,80,44,68,10,68,58
80,563,611,61,80,49,68,6,67,58
82,625,611,65,80,53,68,6,68,58
165,691,611,69,80,57,68,1,68,58
65,761,611,73,80,61,68,-2,67,58
33,835,611,29,80,17,68,20,66,58
68,865,611,62,79,50,67,5,67,58
89,928,611,72,79,60,67,-1,67,58
208,0,694,68,79,56,67,0,67,58
35,69,694,63,79,51,67,3,67,58
66,133,694,61,79,49,67,5,67,58
69,195,694,56,79,44,67,9,67,58
72,252,694,60,79,48,67,5,67,58
73,313,694,55,79,43,67,7,67,58
75,369,694,65,79,53,67,6,67,58
76,435,694,57,79,45,67,9,67,58
77,493,694,67,79,55,67,1,67,58
78,561,694,59,79,47,67,5,67,58
222,621,694,61,79,49,67,6,67,58
84,683,694,67,79,55,67,2,67,58
49,751,694,60,79,48,67,5,67,58
88,812,694,70,79,58,67,0,67,58
87,883,694,71,79,59,67,-1,67,58
90,955,694,63,79,51,67,3,67,58
86,0,774,71,79,59,67,-1,67,58
116,72,774,60,78,48,66,5,64,58
169,133,774,68,77,56,65,1,74,58
8804,202,774,56,75,44,63,6,63,58
8805,259,774,56,75,44,63,7,63,58
62,316,774,57,71,45,59,6,60,58
247,374,774,54,71,42,59,8,60,58
8800,429,774,56,71,44,59,7,59,58
60,486,774,57,71,45,59,7,60,58
111,544,774,62,67,50,55,4,53,58
115,607,774,60,67,48,55,4,53,58
101,668,774,61,67,49,55,4,53,58
99,730,774,58,67,46,55,7,53,58
97,789,774,62,67,50,55,3,53,58
177,852,774,54,66,42,54,8,54,58
230,907,774,69,66,57,54,0,52,58
58,977,774,32,66,20,54,19,52,58
114,0,854,59,65,47,53,7,53,58
110,60,854,57,65,45,53,7,53,58
109,118,854,65,65,53,53,3,53,58
117,184,854,57,65,45,53,7,51,58
174,242,854,65,65,53,53,2,73,58
119,308,854,70,64,58,52,0,52,58
122,379,854,56,64,44,52,7,52,58
118,436,854,65,64,53,52,2,52,58
43,502,854,63,64,51,52,3,56,58
120,566,854,66,63,54,51,2,51,58
42,633,854,65,62,53,50,2,57,58
44,699,854,34,52,22,40,17,20,58
215,734,854,52,52,40,40,9,50,58
8734,787,854,72,51,60,39,-1,50,58
8482,860,854,72,51,60,39,-2,67,58
8776,933,854,59,48,47,36,5,48,58
176,0,920,46,45,34,33,7,74,58
61,47,920,56,44,44,32,7,46,58
94,104,920,63,43,51,31,3,82,58
39,168,920,27,39,15,27,21,72,58
34,196,920,46,39,34,27,12,72,58
46,243,920,33,34,21,22,18,20,58
126,277,920,66,33,54,21,2,41,58
96,344,920,40,33,28,21,15,81,58
95,385,920,60,24,48,12,5,-6,58
45,446,920,54,24,42,12,8,36,58
32,501,920,12,12,0,0,0,0,58
